userId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,1,0.98409894,0.397526502,0.533568905,0.895759717,0.510600707,0,0.855123675,0.514134276,0.01590106,0.086572438,0,0.300353357,0.180212014,0.286219081,0.416961131,0.542402827,0.272084806,0.075971731
2,0.688311688,0.220779221,0,0,0.454545455,0.545454545,0.246753247,1,0,0,0.012987013,0.207792208,0,0.12987013,0.090909091,0.233766234,0.493506494,0.090909091,0.038961039
3,0.809302326,0.590697674,0.427906977,0.386046512,0.302325581,0.511627907,0.595348837,0,0.641860465,0.595348837,0.88372093,0.595348837,0.553488372,0.637209302,0.386046512,1,0.776744186,0.386046512,0.595348837
4,0.15954416,0.296296296,0.082621083,0.116809117,0.897435897,0.324786325,0.025641026,1,0.199430199,0.054131054,0.065527066,0,0.225071225,0.188034188,0.413105413,0.008547009,0.344729345,0.062678063,0.116809117
5,0.140186916,0.168224299,0.373831776,0.476635514,0.420560748,0.504672897,0.018691589,1,0.38317757,0.018691589,0.028037383,0.121495327,0.327102804,0.065420561,0.158878505,0,0.289719626,0.08411215,0.037383178
6,0.456790123,0.446502058,0.156378601,0.339506173,0.652263374,0.158436214,0.004115226,1,0.172839506,0,0.08436214,0.051440329,0.144032922,0.125514403,0.502057613,0.12962963,0.448559671,0.086419753,0.100823045
7,1,0.944055944,0.342657343,0.27972028,0.657342657,0.496503497,0.090909091,0.699300699,0.293706294,0.118881119,0.265734266,0,0.321678322,0.258741259,0.006993007,0.566433566,0.909090909,0.272727273,0.055944056
8,0.35443038,0.443037975,0.113924051,0.303797468,0.556962025,0.518987342,0,1,0.101265823,0,0.17721519,0.17721519,0.113924051,0.189873418,0.53164557,0.101265823,0.810126582,0.139240506,0.025316456
9,0.407894737,0.802631579,0.315789474,0.315789474,0.973684211,0.394736842,0.25,1,0.486842105,0.315789474,0,0.263157895,0.263157895,0.447368421,0.381578947,0.355263158,0.131578947,0.328947368,0.315789474
10,0.472081218,0.598984772,0.416243655,0.319796954,0.903553299,0.172588832,0.076142132,0.664974619,0.314720812,0.076142132,0.035532995,0.299492386,0.182741117,0.040609137,1,0,0.162436548,0.157360406,0.076142132
11,1,0.409395973,0.020134228,0.020134228,0.234899329,0.348993289,0.020134228,0.932885906,0,0.020134228,0.080536913,0.080536913,0.020134228,0.147651007,0.536912752,0.22147651,0.798657718,0.275167785,0.087248322
