,movieId,userId,rating
0,1,1,4
1,1,5,4
2,1,7,4.5
3,1,15,2.5
4,1,17,4.5
5,1,18,3.5
6,1,19,4
7,1,21,3.5
8,1,27,3
9,1,31,5
10,1,32,3
11,1,33,3
12,1,40,5
13,1,43,5
14,1,44,3
15,1,45,4
16,1,46,5
17,1,50,3
18,1,54,3
19,1,57,5
20,1,63,5
21,1,64,4
22,1,66,4
23,1,68,2.5
24,1,71,5
25,1,73,4.5
26,1,76,0.5
27,1,78,4
28,1,86,4
29,1,89,3
30,1,90,3
31,1,91,4
32,1,93,3
33,1,96,5
34,1,98,4.5
35,1,103,4
36,1,107,4
37,1,112,3
38,1,119,3.5
39,1,121,4
40,1,124,4
41,1,130,3
42,1,132,2
43,1,134,3
44,1,135,4
45,1,137,4
46,1,140,3
47,1,141,4
48,1,144,3.5
49,1,145,5
50,1,151,5
51,1,153,2
52,1,155,3
53,1,156,4
54,1,159,4.5
55,1,160,4
56,1,161,4
57,1,166,5
58,1,167,3.5
59,1,169,4.5
60,1,171,5
61,1,177,5
62,1,178,4
63,1,179,4
64,1,182,4
65,1,185,4
66,1,186,4
67,1,191,4
68,1,193,2
69,1,200,3.5
70,1,201,5
71,1,202,4
72,1,206,5
73,1,213,3.5
74,1,214,3
75,1,216,3
76,1,217,4
77,1,219,3.5
78,1,220,5
79,1,223,3.5
80,1,226,3.5
81,1,229,5
82,1,232,3.5
83,1,233,3
84,1,234,5
85,1,239,4
86,1,240,5
87,1,247,5
88,1,249,4
89,1,252,4.5
90,1,254,4.5
91,1,263,4
92,1,264,4
93,1,266,2
94,1,269,5
95,1,270,5
96,1,273,5
97,1,274,4
98,1,275,5
99,1,276,4
100,1,277,4
101,1,279,3
102,1,280,4.5
103,1,282,4.5
104,1,283,3
105,1,288,4.5
106,1,290,4
107,1,291,4
108,1,292,4
109,1,293,3
110,1,298,2
111,1,304,5
112,1,307,4
113,1,314,3
114,1,322,3.5
115,1,323,3.5
116,1,328,5
117,1,330,4
118,1,332,4
119,1,334,3.5
120,1,336,4
121,1,337,4
122,1,339,4
123,1,341,5
124,1,347,5
125,1,350,4
126,1,353,5
127,1,357,5
128,1,359,4
129,1,364,5
130,1,367,5
131,1,372,3
132,1,373,3
133,1,378,4.5
134,1,380,5
135,1,381,3.5
136,1,382,4.5
137,1,385,4
138,1,389,5
139,1,391,3
140,1,396,5
141,1,399,4
142,1,401,3.5
143,1,411,5
144,1,412,2
145,1,414,4
146,1,420,4
147,1,422,4
148,1,432,2.5
149,1,434,4
150,1,436,4
151,1,438,4.5
152,1,443,4
153,1,448,5
154,1,451,5
155,1,453,5
156,1,456,5
157,1,460,4.5
158,1,462,1.5
159,1,468,4
160,1,469,4
161,1,470,4
162,1,471,5
163,1,474,4
164,1,476,4
165,1,477,4
166,1,480,3
167,1,483,4
168,1,484,4.5
169,1,488,4.5
170,1,490,3.5
171,1,492,4
172,1,500,4
173,1,504,4
174,1,509,4
175,1,514,4
176,1,517,4
177,1,522,3
178,1,524,4
179,1,525,4
180,1,528,2.5
181,1,529,3
182,1,533,5
183,1,534,4
184,1,541,3
185,1,544,3
186,1,550,4
187,1,555,4
188,1,559,5
189,1,560,3
190,1,561,4
191,1,562,4.5
192,1,567,3.5
193,1,570,4
194,1,572,4
195,1,573,5
196,1,579,4
197,1,580,3
198,1,584,5
199,1,587,5
200,1,590,4
201,1,596,4
202,1,597,4
203,1,599,3
204,1,600,2.5
205,1,601,4
206,1,603,4
207,1,604,3
208,1,605,4
209,1,606,2.5
210,1,607,4
211,1,608,2.5
212,1,609,3
213,1,610,5
214,2,6,4
215,2,8,4
216,2,18,3
217,2,19,3
218,2,20,3
219,2,21,3.5
220,2,27,4
221,2,51,4.5
222,2,62,4
223,2,68,2.5
224,2,82,3
225,2,93,5
226,2,94,4
227,2,103,4
228,2,104,3
229,2,107,5
230,2,112,1.5
231,2,117,3
232,2,122,4
233,2,125,4
234,2,135,3
235,2,140,3.5
236,2,144,3
237,2,149,1
238,2,153,2
239,2,160,4
240,2,169,4
241,2,177,3.5
242,2,186,4
243,2,202,4
244,2,217,2
245,2,219,2.5
246,2,221,3.5
247,2,222,2.5
248,2,226,3
249,2,230,2.5
250,2,232,4
251,2,240,5
252,2,249,4
253,2,259,2
254,2,274,3.5
255,2,276,4
256,2,284,4
257,2,288,2
258,2,294,3
259,2,298,0.5
260,2,299,3
261,2,304,4
262,2,305,3.5
263,2,307,2.5
264,2,308,3
265,2,318,3.5
266,2,321,5
267,2,322,3
268,2,323,4
269,2,330,1.5
270,2,347,3
271,2,353,4
272,2,357,3
273,2,359,3.5
274,2,373,3
275,2,380,5
276,2,381,4
277,2,395,3
278,2,411,4
279,2,414,3
280,2,425,3
281,2,426,4.5
282,2,432,4
283,2,434,2.5
284,2,436,4
285,2,446,3
286,2,447,5
287,2,448,3
288,2,458,4
289,2,470,3
290,2,474,3
291,2,475,4.5
292,2,476,4
293,2,477,4
294,2,480,3
295,2,482,4.5
296,2,483,4
297,2,484,2.5
298,2,489,2.5
299,2,497,2.5
300,2,501,3
301,2,512,3
302,2,517,3
303,2,523,4.5
304,2,525,3.5
305,2,527,4
306,2,534,4.5
307,2,559,4
308,2,561,4
309,2,563,2.5
310,2,566,4
311,2,570,3.5
312,2,573,4.5
313,2,586,4
314,2,590,2.5
315,2,592,4
316,2,594,4
317,2,599,2.5
318,2,600,4
319,2,602,4
320,2,604,5
321,2,605,3.5
322,2,608,2
323,3,1,4
324,3,6,5
325,3,19,3
326,3,32,3
327,3,42,4
328,3,43,5
329,3,44,3
330,3,51,4
331,3,58,3
332,3,64,3.5
333,3,68,2
334,3,91,3
335,3,100,3.5
336,3,102,5
337,3,116,3.5
338,3,117,3
339,3,150,3
340,3,151,3
341,3,169,5
342,3,179,4
343,3,217,1
344,3,226,3.5
345,3,240,4
346,3,269,4
347,3,270,3
348,3,288,4
349,3,289,2.5
350,3,294,1
351,3,302,3
352,3,307,3.5
353,3,308,0.5
354,3,321,3
355,3,330,3
356,3,337,4
357,3,368,3
358,3,410,4
359,3,414,4
360,3,448,3
361,3,456,3
362,3,470,3
363,3,477,3
364,3,480,2.5
365,3,492,4
366,3,501,5
367,3,544,3
368,3,552,1
369,3,555,5
370,3,588,3
371,3,590,3
372,3,594,4
373,3,599,1.5
374,3,608,2
375,4,6,3
376,4,14,3
377,4,84,3
378,4,162,3
379,4,262,1
380,4,411,2
381,4,600,1.5
382,5,6,5
383,5,31,3
384,5,43,5
385,5,45,3
386,5,58,4
387,5,66,4
388,5,68,2
389,5,84,3
390,5,103,4
391,5,107,4
